R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,R_SIG_STR._att,R_SIG_STR._landed,B_SIG_STR._att,B_SIG_STR._landed,R_TOTAL_STR._att,R_TOTAL_STR._landed,B_TOTAL_STR._att,B_TOTAL_STR._landed,R_TD_att,R_TD_landed,B_TD_att,B_TD_landed,R_HEAD_att,R_HEAD_landed,B_HEAD_att,B_HEAD_landed,R_BODY_att,R_BODY_landed,B_BODY_att,B_BODY_landed,R_LEG_att,R_LEG_landed,B_LEG_att,B_LEG_landed,R_DISTANCE_att,R_DISTANCE_landed,B_DISTANCE_att,B_DISTANCE_landed,R_CLINCH_att,R_CLINCH_landed,B_CLINCH_att,B_CLINCH_landed,R_GROUND_att,R_GROUND_landed,B_GROUND_att,B_GROUND_landed,weight_class,no_of_rounds,R_Height,R_Weight,R_Reach,R_Stance,R_DOB,B_height,B_Weight,B_Reach,B_Stance,B_DOB
Alex Oliveira,Joe Merritt,0,0,0.33,0.58,0.31,0.0,2,0,6,1,0,3,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"June 27, 2015","Hollywood, Florida, USA",Welterweight Bout,Red,33,11,39,23,60,33,50,34,16,5,2,0,25,7,30,16,2,0,4,3,6,4,5,4,21,5,18,4,8,4,8,8,4,2,13,11,Welterweight,3,180.34,170.0,193.04,Orthodox,"Feb 21, 1988",182.88,170.0,185.42000000000002,Orthodox,"Mar 07, 1984"
Leandro Silva,Lewis Gonzalez,0,0,0.58,0.37,0.37,0.33,0,0,3,2,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jorge Alonso,"June 27, 2015","Hollywood, Florida, USA",Welterweight Bout,Red,48,28,56,21,76,55,93,53,8,3,6,2,29,15,40,10,12,8,10,6,7,5,6,5,41,22,35,8,7,6,13,8,0,0,8,5,Welterweight,3,175.26,155.0,182.88,Orthodox,"Nov 11, 1985",177.8,170.0,185.42000000000002,Orthodox,"Sep 19, 1987"
Steve Montgomery,Tony Sims,0,1,0.32,0.52,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,2:43,3 Rnd (5-5-5),James Warring,"June 27, 2015","Hollywood, Florida, USA",Welterweight Bout,Blue,28,9,19,10,32,13,21,12,0,0,1,0,26,7,17,8,2,2,2,2,0,0,0,0,24,8,13,6,4,1,3,1,0,0,3,3,Welterweight,3,193.04,185.0,190.5,Southpaw,"Dec 19, 1990",180.34,155.0,177.8,Southpaw,"Oct 14, 1985"
Danny Martinez,Sirwan Kakai,0,1,0.32,0.35,0.0,0.5,0,0,0,1,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,"June 27, 2015","Hollywood, Florida, USA",Bantamweight Bout,Blue,184,59,146,52,188,62,179,85,0,0,10,5,149,35,139,48,35,24,7,4,0,0,0,0,159,45,118,32,25,14,25,17,0,0,3,3,Bantamweight,3,167.64000000000001,125.0,170.18,Orthodox,"Jun 14, 1985",165.1,135.0,167.64000000000001,Orthodox,"Oct 03, 1989"
Joanna Jedrzejczyk,Jessica Penne,0,0,0.61,0.28,0.0,0.0,0,0,0,0,0,0,KO/TKO,3,4:22,5 Rnd (5-5-5-5-5),Marc Goddard,"June 20, 2015","Berlin, Berlin, Germany",UFC Women's Strawweight Title Bout,Red,204,126,88,25,247,162,91,28,0,0,11,0,155,81,69,13,22,18,14,7,27,27,5,5,160,96,85,24,35,24,3,1,9,6,0,0,Women's Strawweight,5,167.64000000000001,125.0,165.1,Orthodox,"Aug 18, 1987",165.1,115.0,170.18,,"Jan 30, 1983"
Dennis Siver,Tatsuya Kawajiri,0,0,0.36,0.56,0.0,0.28,1,0,0,5,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,"June 20, 2015","Berlin, Berlin, Germany",Featherweight Bout,Blue,60,22,39,22,137,90,68,47,0,0,14,4,45,10,31,15,5,4,7,6,10,8,1,1,58,20,34,17,2,2,0,0,0,0,5,5,Featherweight,3,167.64000000000001,145.0,177.8,Orthodox,"Jan 13, 1979",170.18,145.0,175.26,Orthodox,"May 08, 1978"
Peter Sobotta,Steve Kennedy,0,0,0.46,0.25,1.0,0.0,1,0,2,0,0,0,Submission,1,2:57,3 Rnd (5-5-5),Wolf Menninger,"June 20, 2015","Berlin, Berlin, Germany",Welterweight Bout,Red,13,6,12,3,14,7,12,3,2,2,1,0,9,2,7,1,2,2,2,0,2,2,3,2,13,6,12,3,0,0,0,0,0,0,0,0,Welterweight,3,182.88,170.0,190.5,Southpaw,"Jan 11, 1987",180.34,170.0,180.34,Orthodox,"Mar 07, 1983"
Nick Hein,Lukasz Sajewski,0,0,0.42,0.3,0.33,0.0,0,0,1,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,"June 20, 2015","Berlin, Berlin, Germany",Lightweight Bout,Red,126,54,86,26,137,64,97,37,3,1,1,0,104,37,67,17,11,8,12,5,11,9,7,4,118,51,83,25,8,3,3,1,0,0,0,0,Lightweight,3,167.64000000000001,155.0,167.64000000000001,Southpaw,"Apr 24, 1984",172.72,155.0,180.34,Orthodox,"Nov 27, 1990"
Makwan Amirkhani,Masio Fullen,0,0,0.0,1.0,1.0,0.0,2,0,1,0,0,0,Submission,1,1:41,3 Rnd (5-5-5),Leon Roberts,"June 20, 2015","Berlin, Berlin, Germany",Featherweight Bout,Red,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Featherweight,3,177.8,145.0,182.88,Southpaw,"Nov 08, 1988",177.8,145.0,177.8,Orthodox,"Oct 06, 1986"
Mairbek Taisumov,Alan Patrick,1,0,0.53,0.44,0.0,0.0,0,0,0,0,0,0,KO/TKO,2,1:30,3 Rnd (5-5-5),Kevin Sataki,"June 20, 2015","Berlin, Berlin, Germany",Lightweight Bout,Red,43,23,38,17,44,24,38,17,0,0,7,0,34,15,24,5,8,7,10,8,1,1,4,4,29,14,35,15,1,1,3,2,13,8,0,0,Lightweight,3,175.26,155.0,185.42000000000002,Orthodox,"Aug 08, 1988",180.34,155.0,187.96,Southpaw,"Jul 19, 1983"
Alan Omer,Arnold Allen,0,0,0.53,0.3,0.5,0.25,0,1,2,0,0,0,Submission,3,1:41,3 Rnd (5-5-5),Wolf Menninger,"June 20, 2015","Berlin, Berlin, Germany",Featherweight Bout,Blue,66,35,75,23,125,85,86,33,4,2,4,1,54,27,67,20,8,5,8,3,4,3,0,0,45,20,65,18,15,9,6,1,6,6,4,4,Featherweight,3,177.8,145.0,180.34,Orthodox,"Sep 14, 1988",172.72,145.0,177.8,Southpaw,"Jan 22, 1994"
Niklas Backstrom,Noad Lahat,0,0,0.35,0.62,0.8,0.33,1,1,4,4,1,3,Decision - Majority,3,5:00,3 Rnd (5-5-5),Marc Goddard,"June 20, 2015","Berlin, Berlin, Germany",Featherweight Bout,Blue,31,11,100,62,46,23,148,105,5,4,3,1,19,5,82,49,11,5,13,9,1,1,5,4,26,8,40,19,5,3,34,25,0,0,26,18,Featherweight,3,185.42,145.0,187.96,Orthodox,"Aug 22, 1989",175.26,145.0,175.26,Orthodox,"Jun 08, 1984"
Scott Askham,Antonio Dos Santos,2,0,0.68,0.52,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,2:52,3 Rnd (5-5-5),Leon Roberts,"June 20, 2015","Berlin, Berlin, Germany",Middleweight Bout,Red,16,11,21,11,17,12,24,13,1,0,1,0,11,7,18,9,3,2,1,0,2,2,2,2,8,7,12,6,7,3,9,5,1,1,0,0,Middleweight,3,190.5,185.0,190.5,Southpaw,"May 20, 1988",177.8,185.0,182.88,Orthodox,"Jul 21, 1988"
Piotr Hallmann,Magomed Mustafaev,0,0,0.56,0.43,0.66,0.0,0,0,0,0,0,0,TKO - Doctor's Stoppage,2,3:24,3 Rnd (5-5-5),Kevin Sataki,"June 20, 2015","Berlin, Berlin, Germany",Lightweight Bout,Blue,51,29,41,18,127,99,47,23,3,2,3,0,32,16,35,13,12,7,3,2,7,6,3,3,24,14,28,12,19,9,13,6,8,6,0,0,Lightweight,3,175.26,155.0,180.34,Orthodox,"Aug 25, 1987",172.72,155.0,180.34,Orthodox,"Aug 02, 1988"
Taylor Lapilus,Ulka Sasaki,1,0,0.51,0.39,0.0,0.16,0,0,0,0,0,0,KO/TKO,2,1:26,3 Rnd (5-5-5),Wolf Menninger,"June 20, 2015","Berlin, Berlin, Germany",Bantamweight Bout,Red,60,31,41,16,99,68,43,18,1,0,6,1,51,24,20,3,7,5,5,3,2,2,16,10,31,10,39,15,19,15,2,1,10,6,0,0,Bantamweight,3,167.64000000000001,135.0,185.42000000000002,Southpaw,"Apr 08, 1992",177.8,125.0,180.34,Southpaw,"Oct 07, 1989"
Cain Velasquez,Fabricio Werdum,0,0,0.52,0.55,0.8,0.33,0,1,1,0,0,0,Submission,3,2:13,5 Rnd (5-5-5-5-5),Herb Dean,"June 13, 2015","Mexico City, Distrito Federal, Mexico",UFC Heavyweight Title Bout,Blue,169,88,174,96,201,117,180,101,5,4,3,1,128,54,150,79,8,6,19,12,33,28,5,5,135,65,149,79,34,23,25,17,0,0,0,0,Heavyweight,5,185.42,240.0,195.58,Orthodox,"Jul 28, 1982",193.04,231.0,195.58,Orthodox,"Jul 30, 1977"
Gilbert Melendez,Eddie Alvarez,0,0,0.28,0.48,0.0,0.27,0,0,0,0,0,0,Decision - Split,3,5:00,3 Rnd (5-5-5),John McCarthy,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Lightweight Bout,Blue,129,37,64,31,187,93,79,43,1,0,11,3,119,33,47,16,10,4,10,8,0,0,7,7,123,36,61,29,6,1,3,2,0,0,0,0,Lightweight,3,175.26,145.0,185.42000000000002,Orthodox,"Apr 12, 1982",175.26,155.0,175.26,Orthodox,"Jan 11, 1984"
Kelvin Gastelum,Nate Marquardt,0,0,0.53,0.36,0.5,0.0,0,0,2,0,0,0,KO/TKO,2,5:00,3 Rnd (5-5-5),Dan Miragliotta,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Middleweight Bout,Red,110,59,49,18,188,126,57,24,2,1,2,0,87,41,37,8,17,12,12,10,6,6,0,0,83,39,43,16,11,7,4,2,16,13,2,0,Middleweight,3,175.26,185.0,180.34,Southpaw,"Oct 24, 1991",182.88,185.0,187.96,Orthodox,"Apr 20, 1979"
Yair Rodriguez,Charles Rosa,0,0,0.56,0.49,1.0,0.35,2,0,1,4,2,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Featherweight Bout,Red,100,56,79,39,149,97,117,67,1,1,14,5,74,33,67,30,12,10,5,3,14,13,7,6,79,39,51,23,4,4,1,0,17,13,27,16,Featherweight,3,180.34,145.0,180.34,,"Oct 06, 1992",175.26,145.0,175.26,Switch,"Aug 24, 1986"
Tecia Torres,Angela Hill,0,0,0.4,0.39,0.16,0.0,0,0,4,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Women's Strawweight Bout,Red,80,32,68,27,144,86,110,66,12,2,0,0,56,14,50,16,15,10,15,8,9,8,3,3,63,22,52,16,13,9,15,11,4,1,1,0,Women's Strawweight,3,154.94,115.0,152.4,Orthodox,"Aug 16, 1989",160.02,115.0,162.56,Orthodox,"Jan 12, 1985"
Henry Cejudo,Chico Camus,0,0,0.43,0.33,0.06,0.0,0,0,0,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Flyweight Bout,Red,143,62,144,48,219,133,157,59,15,1,1,0,112,39,133,39,29,21,11,9,2,2,0,0,115,47,126,38,26,15,17,9,2,0,1,1,Flyweight,3,162.56,135.0,162.56,Orthodox,"Feb 09, 1987",167.64000000000001,125.0,167.64000000000001,Orthodox,"Jan 26, 1985"
Efrain Escudero,Drew Dober,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,Submission,1,0:54,3 Rnd (5-5-5),Herb Dean,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Lightweight Bout,Red,1,1,3,0,1,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,Lightweight,3,175.26,155.0,177.8,Orthodox,"Jan 15, 1986",172.72,155.0,177.8,Southpaw,"Oct 19, 1988"
Alejandro Perez,Patrick Williams,0,1,0.0,0.5,0.0,0.0,0,1,0,0,0,0,Submission,1,0:23,3 Rnd (5-5-5),Dan Miragliotta,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Bantamweight Bout,Blue,1,0,4,2,1,0,4,2,1,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,0,Bantamweight,3,167.64000000000001,135.0,170.18,Orthodox,"Sep 02, 1989",172.72,135.0,185.42000000000002,Orthodox,"Sep 07, 1981"
Francisco Trevino,Johnny Case,0,0,0.45,0.36,0.0,0.57,0,0,1,6,1,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Lightweight Bout,Blue,74,34,109,40,90,49,143,64,2,0,7,4,39,9,87,24,12,5,14,9,23,20,8,7,67,29,96,31,5,3,11,7,2,2,2,2,Lightweight,3,175.26,155.0,177.8,Orthodox,"Dec 17, 1981",177.8,155.0,182.88,Orthodox,"Jun 28, 1989"
Augusto Montano,Cathal Pendred,0,0,0.38,0.41,0.0,0.23,0,0,0,3,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Welterweight Bout,Blue,55,21,41,17,62,28,75,45,0,0,17,4,33,8,17,1,15,7,4,0,7,6,20,16,42,14,35,15,13,7,6,2,0,0,0,0,Welterweight,3,185.42,170.0,185.42000000000002,Orthodox,"Oct 25, 1984",185.42,170.0,190.5,Orthodox,"Sep 02, 1987"
Gabriel Benitez,Clay Collard,0,0,0.56,0.21,0.0,0.54,1,0,1,3,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,"June 13, 2015","Mexico City, Distrito Federal, Mexico",Featherweight Bout,Red,106,60,158,34,144,97,184,54,0,0,11,6,48,13,136,17,37,30,8,5,21,17,14,12,99,55,151,30,2,1,4,3,5,4,3,1,Featherweight,3,172.72,145.0,180.34,Southpaw,"Jun 15, 1988",180.34,145.0,185.42000000000002,Orthodox,"Mar 10, 1993"
Tim Boetsch,Dan Henderson,0,1,0.5,0.8,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,0:28,5 Rnd (5-5-5-5-5),John McCarthy,"June 06, 2015","New Orleans, Louisiana, USA",Middleweight Bout,Blue,6,3,15,12,6,3,15,12,0,0,0,0,5,3,15,12,1,0,0,0,0,0,0,0,6,3,4,3,0,0,2,1,0,0,9,8,Middleweight,5,182.88,185.0,187.96,Orthodox,"Jan 28, 1981",180.34,185.0,187.96,Orthodox,"Aug 24, 1970"
Ben Rothwell,Matt Mitrione,0,0,0.31,0.38,0.0,0.0,1,0,0,0,0,0,Submission,1,1:54,3 Rnd (5-5-5),Dan Miragliotta,"June 06, 2015","New Orleans, Louisiana, USA",Heavyweight Bout,Red,16,5,21,8,17,6,21,8,0,0,1,0,14,4,18,6,0,0,2,1,2,1,1,1,16,5,20,8,0,0,1,0,0,0,0,0,Heavyweight,3,193.04,265.0,198.12,Orthodox,"Oct 17, 1981",190.5,265.0,200.66,Switch,"Jul 15, 1978"
Dustin Poirier,Yancy Medeiros,2,0,0.75,0.46,0.5,0.0,1,0,1,0,0,0,KO/TKO,1,2:38,3 Rnd (5-5-5),John McCarthy,"June 06, 2015","New Orleans, Louisiana, USA",Lightweight Bout,Red,36,27,13,6,46,36,13,6,2,1,0,0,34,25,10,5,1,1,3,1,1,1,0,0,13,9,13,6,20,15,0,0,3,3,0,0,Lightweight,3,175.26,155.0,182.88,Southpaw,"Jan 19, 1989",177.8,155.0,190.5,Orthodox,"Sep 07, 1987"
Thiago Tavares,Brian Ortega,0,1,0.41,0.4,0.54,0.0,0,1,4,2,0,1,KO/TKO,3,4:10,3 Rnd (5-5-5),Dan Miragliotta,"June 06, 2015","New Orleans, Louisiana, USA",Featherweight Bout,Blue,94,39,101,41,177,114,117,56,11,6,0,0,87,33,97,39,2,2,3,1,5,4,1,1,76,26,72,22,1,1,7,5,17,12,22,14,Featherweight,3,170.18,145.0,172.72,Orthodox,"Nov 08, 1984",172.72,145.0,175.26,Switch,"Feb 21, 1991"
Joe Soto,Anthony Birchak,0,2,0.11,0.41,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,1:37,3 Rnd (5-5-5),John McCarthy,"June 06, 2015","New Orleans, Louisiana, USA",Bantamweight Bout,Blue,9,1,39,16,9,1,41,18,0,0,0,0,7,1,32,11,0,0,3,2,2,0,4,3,8,1,20,5,1,0,15,9,0,0,4,2,Bantamweight,3,167.64000000000001,135.0,165.1,Orthodox,"Mar 22, 1987",172.72,135.0,175.26,Orthodox,"May 16, 1986"
Francisco Rivera,Alex Caceres,1,0,0.55,0.0,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,0:21,3 Rnd (5-5-5),Dan Miragliotta,"June 06, 2015","New Orleans, Louisiana, USA",Bantamweight Bout,Red,9,5,5,0,9,5,5,0,0,0,0,0,9,5,5,0,0,0,0,0,0,0,0,0,5,2,5,0,0,0,0,0,4,3,0,0,Bantamweight,3,172.72,135.0,172.72,Orthodox,"Oct 08, 1981",177.8,145.0,185.42000000000002,Southpaw,"Jun 20, 1988"
Shawn Jordan,Derrick Lewis,1,0,0.62,0.26,0.75,0.0,0,0,5,0,0,0,KO/TKO,2,0:48,3 Rnd (5-5-5),Gabe Barahona,"June 06, 2015","New Orleans, Louisiana, USA",Heavyweight Bout,Red,37,23,23,6,83,65,25,8,4,3,0,0,34,22,20,5,3,1,3,1,0,0,0,0,9,3,15,2,9,5,8,4,19,15,0,0,Heavyweight,3,182.88,260.0,190.5,Southpaw,"Oct 21, 1984",190.5,260.0,200.66,Orthodox,"Feb 07, 1985"
Brian Ebersole,Omari Akhmedov,0,0,0.15,0.37,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,5:00,3 Rnd (5-5-5),Jordan Bass,"June 06, 2015","New Orleans, Louisiana, USA",Welterweight Bout,Blue,13,2,40,15,14,3,41,16,1,0,0,0,7,1,26,7,3,0,5,4,3,1,9,4,13,2,37,14,0,0,3,1,0,0,0,0,Welterweight,3,182.88,170.0,185.42000000000002,Southpaw,"Nov 27, 1980",182.88,185.0,185.42000000000002,Orthodox,"Oct 12, 1987"
Chris Wade,Christos Giagos,0,0,0.56,0.33,0.57,0.0,0,0,3,1,2,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Robbie Scheureumann,"June 06, 2015","New Orleans, Louisiana, USA",Lightweight Bout,Red,57,32,84,28,80,55,98,41,7,4,4,0,36,15,70,17,12,9,13,10,9,8,1,1,44,23,68,19,11,7,16,9,2,2,0,0,Lightweight,3,177.8,155.0,177.8,Orthodox,"Sep 30, 1987",177.8,155.0,180.34,Orthodox,"Jan 23, 1990"
Joe Proctor,Justin Edwards,0,0,0.38,0.36,0.0,0.66,3,0,0,0,0,0,Submission,3,4:58,3 Rnd (5-5-5),Myron Gaudet,"June 06, 2015","New Orleans, Louisiana, USA",Lightweight Bout,Red,175,67,171,63,177,69,179,71,0,0,3,2,143,42,139,47,17,14,22,12,15,11,10,4,157,55,141,43,18,12,30,20,0,0,0,0,Lightweight,3,177.8,155.0,182.88,Orthodox,"Aug 10, 1985",177.8,155.0,177.8,Orthodox,"Jan 26, 1983"
Ricardo Abreu,Jake Collier,0,0,0.31,0.31,0.42,0.0,0,0,1,0,0,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Jordan Bass,"June 06, 2015","New Orleans, Louisiana, USA",Middleweight Bout,Blue,151,47,211,67,174,69,232,84,7,3,0,0,136,38,159,36,7,5,31,18,8,4,21,13,133,38,192,61,18,9,19,6,0,0,0,0,Middleweight,3,180.34,185.0,185.42000000000002,Orthodox,"Apr 27, 1984",190.5,205.0,198.12,Orthodox,"Oct 25, 1988"
Jose Quinonez,Leonardo Morales,0,0,0.66,0.75,0.5,0.0,2,0,3,0,0,0,Submission,1,2:34,3 Rnd (5-5-5),Robbie Scheureumann,"June 06, 2015","New Orleans, Louisiana, USA",Bantamweight Bout,Red,3,2,4,3,5,4,4,3,2,1,0,0,3,2,1,0,0,0,1,1,0,0,2,2,1,0,4,3,1,1,0,0,1,1,0,0,Bantamweight,3,172.72,135.0,175.26,,"Jul 28, 1990",172.72,135.0,172.72,Southpaw,"Dec 22, 1992"
Carlos Condit,Thiago Alves,1,0,0.46,0.49,0.66,0.0,0,1,5,0,0,0,TKO - Doctor's Stoppage,2,5:00,5 Rnd (5-5-5-5-5),Mario Yamasaki,"May 30, 2015","Goiania, Goias, Brazil",Welterweight Bout,Red,162,75,69,34,200,107,70,35,3,2,0,0,128,50,43,11,18,14,6,6,16,11,20,17,128,49,66,33,8,4,3,1,26,22,0,0,Welterweight,5,187.96,170.0,190.5,Orthodox,"Apr 26, 1984",175.26,170.0,177.8,Orthodox,"Oct 03, 1983"
Nik Lentz,Charles Oliveira,0,1,0.53,0.76,0.2,0.5,1,2,5,2,0,0,Submission,3,1:10,3 Rnd (5-5-5),Kevin MacDonald,"May 30, 2015","Goiania, Goias, Brazil",Featherweight Bout,Blue,69,37,84,64,95,58,105,84,10,2,2,1,53,24,51,36,10,8,28,25,6,5,5,3,41,19,20,13,21,12,27,23,7,6,37,28,Featherweight,3,172.72,155.0,172.72,Orthodox,"Aug 13, 1984",177.8,155.0,187.96,Orthodox,"Oct 17, 1989"
KJ Noons,Alex Oliveira,0,0,0.63,0.23,0.0,0.6,0,1,0,2,0,0,Submission,1,2:51,3 Rnd (5-5-5),Mario Yamasaki,"May 30, 2015","Goiania, Goias, Brazil",Welterweight Bout,Blue,11,7,13,3,11,7,14,4,0,0,5,3,8,5,11,1,0,0,0,0,3,2,2,2,10,6,11,3,1,1,1,0,0,0,1,0,Welterweight,3,177.8,155.0,182.88,Orthodox,"Dec 07, 1982",180.34,170.0,193.04,Orthodox,"Feb 21, 1988"
Francimar Barroso,Ryan Jimmo,0,0,0.47,0.57,0.0,0.0,0,0,0,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,"May 30, 2015","Goiania, Goias, Brazil",Light Heavyweight Bout,Red,96,46,61,35,117,67,74,46,14,0,0,0,53,10,37,14,8,6,12,10,35,30,12,11,55,12,48,24,41,34,13,11,0,0,0,0,Light Heavyweight,3,185.42,205.0,190.5,Orthodox,"Feb 28, 1980",185.42,205.0,185.42000000000002,Orthodox,"Nov 27, 1981"
Francisco Trinaldo,Norman Parke,0,0,0.34,0.3,0.0,0.33,0,0,0,2,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Camila Albuquerque,"May 30, 2015","Goiania, Goias, Brazil",Lightweight Bout,Red,191,66,83,25,196,70,89,31,0,0,12,4,148,32,77,23,26,18,6,2,17,16,0,0,173,55,70,17,14,7,10,7,4,4,3,1,Lightweight,3,175.26,155.0,177.8,Southpaw,"Aug 24, 1978",180.34,155.0,177.8,,"Dec 22, 1986"
Wendell Oliveira,Darren Till,0,0,0.56,0.6,0.0,0.0,0,0,0,1,0,0,KO/TKO,2,1:37,3 Rnd (5-5-5),Fernando Yamasaki,"May 30, 2015","Goiania, Goias, Brazil",Welterweight Bout,Blue,39,22,41,25,41,24,42,26,3,0,2,0,14,3,28,15,1,1,8,5,24,18,5,5,18,4,30,17,21,18,1,0,0,0,10,8,Welterweight,3,177.8,170.0,182.88,Orthodox,"Jun 01, 1983",182.88,170.0,187.96,Southpaw,"Dec 24, 1992"
Rony Jason,Damon Jackson,0,0,0.71,0.38,0.0,0.75,1,0,0,0,0,0,Overturned,1,3:31,3 Rnd (5-5-5),Kevin MacDonald,"May 30, 2015","Goiania, Goias, Brazil",Featherweight Bout,Draw,7,5,13,5,14,12,22,13,0,0,4,3,2,1,13,5,4,3,0,0,1,1,0,0,4,2,7,0,3,3,3,2,0,0,3,3,Featherweight,3,170.18,145.0,177.8,Orthodox,"Mar 21, 1984",180.34,145.0,180.34,Switch,"Aug 08, 1988"
Jussier Formiga,Wilson Reis,1,0,0.38,0.42,0.8,0.0,0,0,4,0,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Camila Albuquerque,"May 30, 2015","Goiania, Goias, Brazil",Flyweight Bout,Red,54,21,66,28,71,36,87,45,5,4,9,0,52,19,47,12,1,1,10,7,1,1,9,9,46,16,44,14,3,1,16,12,5,4,6,2,Flyweight,3,165.1,125.0,170.18,Orthodox,"Apr 14, 1985",162.56,125.0,165.1,Southpaw,"Jan 06, 1985"
Elizeu Zaleski dos Santos,Nicolas Dalby,0,0,0.43,0.29,0.0,0.6,0,0,0,1,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Fernando Yamasaki,"May 30, 2015","Goiania, Goias, Brazil",Welterweight Bout,Blue,131,57,139,41,135,61,150,50,2,0,10,6,106,37,101,14,17,13,19,12,8,7,19,15,114,44,114,27,14,11,21,12,3,2,4,2,Welterweight,3,180.34,170.0,185.42000000000002,Orthodox,"Dec 11, 1986",180.34,170.0,187.96,Orthodox,"Nov 16, 1984"
Lucas Martins,Mirsad Bektic,0,1,0.3,0.56,0.0,0.6,0,0,0,2,0,0,KO/TKO,2,0:30,3 Rnd (5-5-5),Mario Yamasaki,"May 30, 2015","Goiania, Goias, Brazil",Featherweight Bout,Blue,23,7,69,39,27,11,123,78,0,0,5,3,23,7,68,38,0,0,1,1,0,0,0,0,23,7,17,8,0,0,0,0,0,0,52,31,Featherweight,3,182.88,145.0,182.88,Southpaw,"Nov 11, 1988",172.72,145.0,177.8,Orthodox,"Feb 16, 1991"
Juliana Lima,Ericka Almeida,0,0,0.56,0.35,1.0,0.0,0,0,0,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Camila Albuquerque,"May 30, 2015","Goiania, Goias, Brazil",Women's Strawweight Bout,Red,72,41,37,13,162,119,58,32,3,3,2,0,54,24,35,11,5,5,1,1,13,12,1,1,39,21,35,12,11,8,1,1,22,12,1,0,Women's Strawweight,3,165.1,115.0,165.1,Orthodox,"Mar 15, 1982",167.64000000000001,115.0,172.72,,"Mar 05, 1989"
Luiz Dutra,Tom Breese,0,1,0.48,0.61,0.0,0.0,0,0,0,1,0,0,KO/TKO,1,4:58,3 Rnd (5-5-5),Fernando Yamasaki,"May 30, 2015","Goiania, Goias, Brazil",Welterweight Bout,Blue,43,21,42,26,52,28,42,26,2,0,2,0,25,7,23,11,13,9,15,11,5,5,4,4,26,10,16,8,17,11,15,11,0,0,11,7,Welterweight,3,180.34,170.0,180.34,Orthodox,"May 06, 1982",190.5,185.0,185.42000000000002,Southpaw,"Sep 26, 1991"
