R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,R_SIG_STR._att,R_SIG_STR._landed,B_SIG_STR._att,B_SIG_STR._landed,R_TOTAL_STR._att,R_TOTAL_STR._landed,B_TOTAL_STR._att,B_TOTAL_STR._landed,R_TD_att,R_TD_landed,B_TD_att,B_TD_landed,R_HEAD_att,R_HEAD_landed,B_HEAD_att,B_HEAD_landed,R_BODY_att,R_BODY_landed,B_BODY_att,B_BODY_landed,R_LEG_att,R_LEG_landed,B_LEG_att,B_LEG_landed,R_DISTANCE_att,R_DISTANCE_landed,B_DISTANCE_att,B_DISTANCE_landed,R_CLINCH_att,R_CLINCH_landed,B_CLINCH_att,B_CLINCH_landed,R_GROUND_att,R_GROUND_landed,B_GROUND_att,B_GROUND_landed,weight_class,no_of_rounds,R_Height,R_Weight,R_Reach,R_Stance,R_DOB,B_height,B_Weight,B_Reach,B_Stance,B_DOB
Stevie Ray,Leonardo Santos,0,1,0.18,0.75,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,2:17,3 Rnd (5-5-5),Marc Goddard,"June 01, 2019","Stockholm, Sweden",Lightweight Bout,Blue,11,2,16,12,11,2,16,12,0,0,0,0,8,0,5,4,1,0,9,6,2,2,2,2,11,2,16,12,0,0,0,0,0,0,0,0,Lightweight,3,177.8,155.0,177.8,Southpaw,"Mar 25, 1990",182.88,155.0,190.5,Orthodox,"Feb 05, 1980"
Nick Hein,Frank Camacho,0,0,0.46,0.49,0.33,0.0,0,0,0,0,0,0,KO/TKO,2,4:56,3 Rnd (5-5-5),Leon Roberts,"June 01, 2019","Stockholm, Sweden",Lightweight Bout,Blue,79,37,201,100,87,45,208,105,3,1,0,0,52,20,151,68,18,8,47,30,9,9,3,2,78,36,191,93,1,1,10,7,0,0,0,0,Lightweight,3,167.64000000000001,155.0,167.64000000000001,Southpaw,"Apr 24, 1984",177.8,170.0,185.42000000000002,Orthodox,"May 18, 1989"
Bea Malecki,Duda Santana,0,0,0.26,0.39,0.0,0.6,2,0,1,0,0,0,Submission,2,1:59,3 Rnd (5-5-5),,"June 01, 2019","Stockholm, Sweden",Women's Bantamweight Bout,Red,71,19,106,42,82,30,112,48,0,0,5,3,63,12,90,36,6,5,10,2,2,2,6,4,69,18,102,40,0,0,2,0,2,1,2,2,Women's Bantamweight,3,175.26,135.0,187.96,Orthodox,"Aug 23, 1991",170.18,145.0,185.42000000000002,Orthodox,"Jan 10, 1996"
Darko Stosic,Devin Clark,0,0,0.47,0.42,0.33,0.18,0,0,1,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,"June 01, 2019","Stockholm, Sweden",Light Heavyweight Bout,Blue,55,26,95,40,82,50,149,90,3,1,11,2,50,23,76,26,5,3,9,5,0,0,10,9,33,12,80,28,16,11,14,11,6,3,1,1,Light Heavyweight,3,182.88,205.0,193.04,Orthodox,"Feb 09, 1992",182.88,205.0,190.5,Orthodox,"Apr 12, 1990"
Joel Alvarez,Danilo Belluardo,0,0,0.46,0.65,0.0,1.0,0,0,1,2,1,0,KO/TKO,2,2:22,3 Rnd (5-5-5),Rebin Saber,"June 01, 2019","Stockholm, Sweden",Lightweight Bout,Red,41,19,20,13,113,87,68,56,0,0,2,2,32,16,16,9,4,1,0,0,5,2,4,4,23,5,13,8,1,1,0,0,17,13,7,5,Lightweight,3,190.5,155.0,195.58,Orthodox,"Mar 02, 1994",182.88,155.0,187.96,Southpaw,"Jul 21, 1994"
Rafael Dos Anjos,Kevin Lee,0,0,0.54,0.36,0.57,0.37,1,0,4,1,1,0,Submission,4,3:47,5 Rnd (5-5-5-5-5),Dan Miragliotta,"May 18, 2019","Rochester, New York, USA",Welterweight Bout,Red,111,60,97,35,126,75,102,40,7,4,16,6,83,36,79,23,21,17,16,10,7,7,2,2,80,33,86,27,20,18,10,7,11,9,1,1,Welterweight,5,172.72,170.0,177.8,Southpaw,"Oct 26, 1984",175.26,170.0,195.58,Orthodox,"Sep 04, 1992"
Antonio Carlos Junior,Ian Heinisch,0,0,0.45,0.58,0.36,1.0,0,0,4,5,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,"May 18, 2019","Rochester, New York, USA",Middleweight Bout,Blue,33,15,67,39,43,25,115,79,11,4,1,1,27,10,48,26,2,1,5,2,4,4,14,11,28,11,31,13,2,2,7,5,3,2,29,21,Middleweight,3,187.96,185.0,200.66,Orthodox,"Mar 16, 1990",180.34,185.0,182.88,Orthodox,"Aug 05, 1988"
Megan Anderson,Felicia Spencer,0,0,0.5,0.7,0.0,0.5,0,1,0,1,0,0,Submission,1,3:24,3 Rnd (5-5-5),Keith Peterson,"May 18, 2019","Rochester, New York, USA",Women's Featherweight Bout,Blue,6,3,31,22,8,5,34,25,0,0,2,1,5,2,17,13,1,1,5,0,0,0,9,9,4,2,7,1,2,1,9,8,0,0,15,13,Women's Featherweight,3,182.88,145.0,182.88,Orthodox,"Feb 11, 1990",167.64000000000001,145.0,172.72,Orthodox,"Nov 29, 1990"
Vicente Luque,Derrick Krantz,1,0,0.72,0.33,0.0,0.5,0,0,0,1,0,0,KO/TKO,1,3:52,3 Rnd (5-5-5),Dan Miragliotta,"May 18, 2019","Rochester, New York, USA",Welterweight Bout,Red,25,18,18,6,25,18,23,9,0,0,2,1,20,14,16,5,2,1,2,1,3,3,0,0,17,10,17,5,1,1,0,0,7,7,1,1,Welterweight,3,180.34,170.0,190.5,Orthodox,"Nov 27, 1991",177.8,170.0,182.88,Orthodox,"Jan 13, 1988"
Charles Oliveira,Nik Lentz,1,0,0.64,0.36,0.0,0.5,1,0,3,1,1,0,KO/TKO,2,2:11,3 Rnd (5-5-5),Todd Ronald Anderson,"May 18, 2019","Rochester, New York, USA",Lightweight Bout,Red,59,38,49,18,64,43,53,21,0,0,4,2,38,23,36,10,19,13,9,5,2,2,4,3,34,20,39,10,17,10,8,6,8,8,2,2,Lightweight,3,177.8,155.0,187.96,Orthodox,"Oct 17, 1989",172.72,155.0,172.72,Orthodox,"Aug 13, 1984"
Davi Ramos,Austin Hubbard,0,0,0.55,0.37,0.42,0.0,0,0,3,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,"May 18, 2019","Rochester, New York, USA",Lightweight Bout,Red,114,63,116,44,128,76,119,46,7,3,0,0,86,44,73,19,15,7,24,8,13,12,19,17,92,41,111,40,5,5,3,2,17,17,2,2,Lightweight,3,167.64000000000001,155.0,177.8,Orthodox,"Nov 05, 1986",177.8,155.0,180.34,Orthodox,"Dec 22, 1991"
Aspen Ladd,Sijara Eubanks,0,0,0.55,0.46,0.75,0.4,3,0,6,2,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,"May 18, 2019","Rochester, New York, USA",Women's Bantamweight Bout,Red,125,69,164,77,143,85,168,80,4,3,5,2,111,57,146,60,9,7,17,16,5,5,1,1,82,38,140,61,20,14,19,12,23,17,5,4,Women's Bantamweight,3,167.64000000000001,135.0,167.64000000000001,Orthodox,"Mar 01, 1995",162.56,135.0,170.18,,"Apr 27, 1985"
Desmond Green,Charles Jourdain,0,0,0.54,0.37,1.0,0.0,0,0,1,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,"May 18, 2019","Rochester, New York, USA",Lightweight Bout,Red,144,78,146,55,152,85,146,55,4,4,0,0,119,56,79,11,17,15,29,14,8,7,38,30,123,61,143,54,7,7,3,1,14,10,0,0,Lightweight,3,177.8,155.0,185.42000000000002,Southpaw,"Oct 11, 1989",175.26,155.0,175.26,Switch,"Nov 27, 1995"
Danny Roberts,Michel Pereira,0,1,0.5,0.54,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,1:47,3 Rnd (5-5-5),Todd Ronald Anderson,"May 18, 2019","Rochester, New York, USA",Welterweight Bout,Blue,4,2,11,6,4,2,11,6,0,0,0,0,2,0,9,4,0,0,2,2,2,2,0,0,4,2,10,5,0,0,1,1,0,0,0,0,Welterweight,3,185.42,170.0,187.96,Southpaw,"Jul 14, 1987",185.42,170.0,185.42000000000002,Orthodox,"Oct 06, 1993"
Michael Trizano,Grant Dawson,0,0,0.48,0.48,0.0,0.3,0,1,0,4,0,0,Submission,2,2:27,3 Rnd (5-5-5),Keith Peterson,"May 18, 2019","Rochester, New York, USA",Featherweight Bout,Blue,41,20,56,27,45,24,63,34,0,0,10,3,30,10,32,9,8,7,17,12,3,3,7,6,37,16,40,15,4,4,13,11,0,0,3,1,Featherweight,3,180.34,155.0,180.34,Orthodox,"Dec 31, 1991",177.8,145.0,182.88,Switch,"Feb 20, 1994"
Patrick Cummins,Ed Herman,0,1,0.66,0.31,0.5,0.0,0,0,0,0,0,0,KO/TKO,1,3:39,3 Rnd (5-5-5),Dan Miragliotta,"May 18, 2019","Rochester, New York, USA",Light Heavyweight Bout,Blue,33,22,35,11,33,22,38,14,2,1,0,0,31,21,34,11,1,0,0,0,1,1,1,0,29,18,28,8,4,4,4,1,0,0,3,2,Light Heavyweight,3,187.96,205.0,193.04,Orthodox,"Nov 16, 1980",185.42,205.0,195.58,Orthodox,"Oct 02, 1980"
Zak Cummings,Trevin Giles,1,0,0.34,0.48,0.0,0.0,1,0,0,0,0,0,Submission,3,4:01,3 Rnd (5-5-5),Todd Ronald Anderson,"May 18, 2019","Rochester, New York, USA",Middleweight Bout,Red,100,34,64,31,107,41,69,36,2,0,0,0,67,10,49,21,16,11,12,7,17,13,3,3,92,28,61,29,8,6,3,2,0,0,0,0,Middleweight,3,182.88,185.0,190.5,Southpaw,"Aug 02, 1984",182.88,185.0,187.96,Orthodox,"Aug 06, 1992"
Julio Arce,Julian Erosa,1,0,0.46,0.26,1.0,0.0,0,0,0,0,0,0,KO/TKO,3,1:49,3 Rnd (5-5-5),Keith Peterson,"May 18, 2019","Rochester, New York, USA",Featherweight Bout,Red,160,74,160,43,160,74,164,46,1,1,0,0,142,61,129,23,17,12,24,15,1,1,7,5,155,71,151,39,4,2,9,4,1,1,0,0,Featherweight,3,170.18,145.0,177.8,Southpaw,"Oct 27, 1989",185.42,145.0,187.96,Southpaw,"Jul 31, 1989"
Rose Namajunas,Jessica Andrade,1,0,0.44,0.44,0.0,0.5,1,0,1,0,0,0,KO/TKO,2,2:58,5 Rnd (5-5-5-5-5),Marc Goddard,"May 11, 2019","Rio de Janeiro, Rio de Janeiro, Brazil",UFC Women's Strawweight Title Bout,Blue,125,55,105,47,125,55,107,49,2,0,4,2,124,54,68,17,1,1,17,11,0,0,20,19,119,50,98,41,3,3,6,5,3,2,1,1,Women's Strawweight,5,165.1,115.0,165.1,Orthodox,"Jun 29, 1992",154.94,115.0,157.48,Orthodox,"Sep 25, 1991"
Jared Cannonier,Anderson Silva,1,0,0.54,0.53,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,4:47,3 Rnd (5-5-5),Herb Dean,"May 11, 2019","Rio de Janeiro, Rio de Janeiro, Brazil",Middleweight Bout,Red,31,17,15,8,32,18,15,8,0,0,0,0,16,5,6,1,3,2,4,3,12,10,5,4,27,14,14,7,4,3,1,1,0,0,0,0,Middleweight,3,180.34,185.0,195.58,Switch,"Mar 16, 1984",187.96,185.0,195.58,Southpaw,"Apr 14, 1975"
Jose Aldo,Alexander Volkanovski,0,0,0.36,0.53,0.0,0.0,0,0,0,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,"May 11, 2019","Rio de Janeiro, Rio de Janeiro, Brazil",Featherweight Bout,Blue,79,29,176,95,90,39,215,129,1,0,3,0,63,19,93,28,12,7,24,17,4,3,59,50,76,26,147,67,3,3,29,28,0,0,0,0,Featherweight,3,170.18,145.0,177.8,Orthodox,"Sep 09, 1986",167.64000000000001,145.0,180.34,Orthodox,"Sep 29, 1988"
Thiago Alves,Laureano Staropoli,0,0,0.39,0.26,0.33,1.0,0,0,0,0,0,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Osiris Maia,"May 11, 2019","Rio de Janeiro, Rio de Janeiro, Brazil",Welterweight Bout,Blue,147,58,202,54,148,59,205,57,3,1,1,1,107,27,167,37,10,5,31,15,30,26,4,2,141,54,199,53,6,4,3,1,0,0,0,0,Welterweight,3,175.26,170.0,177.8,Orthodox,"Oct 03, 1983",185.42,170.0,180.34,Orthodox,"Feb 27, 1993"
